ул.Б.Покровская, д.29;43.998288 56.320473
ул.Ильинская д.69;43.98793 56.317892
ул.Генкиной, 84;44.029046 56.316659
ул.Ковалихинская, д.49г;44.019677 56.320223
ул.Тропинина, д.47;43.939673 56.231333
ул.Родионова д.163;44.068815 56.31552
пр Ленина  д.79е;43.91213 56.265722
ул.Родионова, д.188;44.075723 56.311901
ул.Адмирала Нахимова, д.10а;43.923791 56.269486
ул.Васюнина, д.13а;44.049887 56.296034
ул.Бориса Корнилова, д.7 к.1;44.043644 56.298647
ул.Ларина, д.8;43.985065 56.241419
ул.Гончарова д8;43.943068 56.279972
ул.Литературная, 19;43.937184 56.302283
ул.Кащенко д.12;43.978031 56.233709
ул. Композитора Касьянова, 6г, к.2;44.057038 56.288221
пр.Гагарина, д.176а;43.971051 56.246506
ул.Есенина д.32;43.93422 56.334991
ул.Литературная, д.20а;43.936124 56.302083
ул.Бекетова 43;44.01523 56.293017
ул.Пушкина, д.45г;43.994838 56.292288
ул.Родионова д.190;44.077924 56.310138
ул.40лет Октября д.7б;43.980474 56.259183
ул. Адмирала Макарова, 7а;43.940275 56.285064
бульвар Заречный д.5;43.941353 56.283665
ул.Норильская д. 12;43.925785 56.275174
ул.Рокоссовского д.10;44.037284 56.28285
ул.Шишкова д.3;44.043311 56.290859
ул.Заломова, д.9);43.981561 56.320523
ул.Июльских дней д.7;43.942574 56.30426
ул.Тимирязева 29;43.996114 56.306747
Шаирян *Магазин, Мыза;43.354798 55.198617
Анкудиновское ш., 13а;43.999824 56.262922
ул.Горная, 3а;43.973521 56.256138
"Ленина *ТП ""Евро Март"", ост.ГК Центральный";44.611891 56.312764
ул. Льва Толстого, 7А;43.860226 56.350627
пр.Гагарина, д.176;43.968545 56.246636
ул.Ванеева д.199;44.034041 56.293282
ул.Ленина, д.214а;43.516243 56.103527
ул.Октябрьской революции, д.37;43.935756 56.306198
ул.Кулибина, д.2;44.057658 56.370389
ул.Витебская, 6а;43.941002 56.312929
ул.Вологдина, д.8а;43.978426 56.2716
Мытный рынок;44.611891 56.312764
ул.Тимирязева, д.33а;43.996869 56.307227
ул.Бекетова, д.13;43.998081 56.290634
ул. Кащенко, д.2;43.98087 56.249166
ул.Генерала Ивлиева, д.16;44.049573 56.298297
ул. Донецкая, д.5;44.046285 56.318271
ул Нартова, д.6;43.995458 56.282485
Анкудиновское шоссе, 26а;44.000884 56.262807
ул.Германа Лопатина, 6В;44.071492 56.295115
ул.Радужная, д.3;44.042413 56.320548
ул.Красносельская, д.17;43.982765 56.307966
пр.Гагарина, д.22;43.985172 56.29998
ул. Заломова, 2;43.980968 56.323428
ул. Светлояр.,д.24;43.843805 55.369157
пр. Бусыгина, д.22;43.894128 56.265917
пл. Горького, д.150;43.991461 56.314127
ул. Климовская, 10;43.919919 56.308176
пос. Черепичный, д.18;44.010002 56.244865
ул.Ошарская, д.74;44.016739 56.311506
ул. Сусловой 6, к. 2;44.040338 56.302712
ул.Панина, д.19;44.033466 56.310947
ул.40 лет Победы, д.9;43.948306 56.224672
ул.Кемеровская, д.18;43.974123 56.24544
ул.Полярная, д.65б;43.998773 56.258693
ул.Горная, д.20;43.977851 56.255853
ул.Нижегородская, д.4а;44.025354 56.384774
пл.Горького, д.6;43.992772 56.313259
ул.Родионова, д.200;44.082469 56.300979
Московское шоссе, д.30В;43.918041 56.317063
ул.Ошарская,д.16;44.009822 56.320158
ул.Минина, 16а;44.016578 56.328409
пл.М.Горького, д.4;43.990185 56.314297
ул.Литвинова, 50а;43.947362 56.317088
ул.Малиновского, д.2;44.050848 56.279382
пер. Корейский, д.5;43.988245 56.279042
ул.Школьная д.19;44.47241 56.784087
ул. Ижорская, 37;44.026118 56.309464
ул. Ижорская, 34а;44.023153 56.313833
ул. Веденяпина, 2б;43.863936 56.239503
ул. Богдановича,1а;44.073351 56.285159
ул. Добролюбова, 9;43.538566 56.099903
Продукт-Сервис*№10 Супермаркет №10 А(Гагаринский);44.611891 56.312764
ул. Студёная, 68а;44.000749 56.309973
ул.Пятигорская, д.21;43.977034 56.266192
ул. Белинского 124;44.027034 56.319444
пр.Кораблестроителей, д.22б;43.815553 56.364531
ул. Плотникова 3а;43.856974 56.259358
пр. Гагарина 228;43.945269 56.2282
ул.Есенина, д.10;43.94235 56.333015
г.№6 Есенина 30;43.936403 56.334218
Московское шоссе, 122;43.891469 56.313613
Казанское шоссе, 4а;44.077241 56.294591
г.№12;44.611891 56.312764
Дзержинск, Красноармейская, 30;43.412928 56.246076
Дзержинск, ул. Циолковского, 49;43.461625 56.238377
ул. Культуры 12;43.856336 56.348233
ул. Коминтерна 121;43.868221 56.351011
Южное шоссе, 35;43.863684 56.228005
пл.Комсомольская, д.2;43.250683 56.766632
г.Ярошенко;44.611891 56.312764
Мега, Федяково пос, Мега;44.05481 56.228566
ул.Жукова (на остановке С/х);43.954594 56.232774
ул. 40 лет Победы, 1Б ;43.945853 56.22784
Щербинки 1, д.17;44.611891 56.312764
ул.Терешковой, д.6;43.450468 56.229451
пр.Ленина, д.72а;43.914484 56.266707
ул. Барминская, 8а;43.976333 56.30842
ПершинаАвт*Магазины/Автозавод;44.611891 56.312764
ПершинаЛен*/Ленинский район;43.93563 56.273015
ул.3-я Ямская, д.7;43.97919 56.312809
Верхневолжскнефтепровод*;44.611891 56.312764
ул.Батумская, д.1а;43.976549 56.266537
Зимина* Н.А., хл.крошка;43.935891 56.327456
ул.Семашко, д.20;44.019776 56.323443
пр.Гагарина, д.27;43.980115 56.293777
ул. Баранова, 5а;43.849329 56.332611
ул.Ванеева, д.231;44.035397 56.283934
ул.Центральная, д.47;43.849491 55.363427
ул.Совхозная (синий вагончик);44.05967 56.367318
д.Суроватиха, ул.Огарева, д.5а;43.889008 55.776573
д.Суроватиха, ул.Северная, д.14;43.899545 55.767185
д.Суроватиха, ул.Совхозная д.1а;43.883447 55.770578
ул.Горная, д.11;43.98034 56.257108
ул.Шоссейная (Автостанция);43.630158 56.438871
ул. Центральная;43.852213 55.362132
ул.Б.Покровская, д.73;43.9882 56.31206
ул.Звединка, д.7;43.997713 56.316179
ул. Бонч Бруевича, д 8а;44.611891 56.312764
ул.Хохлова, д.1;44.069551 56.303731
ул.Рождественская, д.21;43.9935 56.329727
Казанское шоссе, д.12/1;44.077519 56.287762
ул.Бекетова, д.33;44.009678 56.292263
г.№19 г.Заволжье;43.387164 56.640441
г.№20 г.Городец;43.48756 56.666943
ул.Карла Маркса, д.32;43.942026 56.342406
пр.Кораблестроителей, д.15 А;43.815651 56.363533
ул.Дубравная,  д.1а;45.251896 55.999284
Дружный пос, 12а;43.916442 56.162967
п.Сухобезводное, ул.2-я Лесная, д.21;44.918603 57.052026
п.Сухобезводное,ул.Красноармейская, д.5;44.881547 57.048511
"п.Сухобезводное, м-н ""Тройка""";44.845085 57.028148
"п.Сухобезводное, м-н ""Ручеек""";44.845085 57.028148
"п.Сухобезводное, м-н ""Мечта""";44.845085 57.028148
"ул.Центральная,д.16 кафе ""Люкс""";43.855878 55.360034
"ул.Центральная, д.16, м-н ""Лотос""";43.855878 55.360034
Московское шоссе, д.189;43.874796 56.314267
"ул.Мира, д.3, м-м ""Гармония""";43.839556 55.406743
ул.Малая Ямская, д.65/4;43.979792 56.309494
ул.Алексеевская, д.8а/1;44.005304 56.323228
ул.Б.Панина, д.21;44.03475 56.311336
пр.Гагарина, д.110;43.977213 56.271056
ул.Чкалова, д.1;44.500374 56.795268
ул.Веденяпина, д.24;43.878102 56.228976
ул.Грузинская, д.23;44.002321 56.320388
ул. Большая Покровская, 2;44.004118 56.325379
ул.Героя Васильева, д.1а;43.879549 56.266257
ул.Героя Васильева, д.46а;43.888226 56.269046
ул.Мельникова, д.16а;43.890418 56.261403
г.Богородск, ул.Ленина, д.214;43.516279 56.103342
Московское шоссе, д.296а;43.839457 56.310822
пл.Жукова, д.7;43.96284 56.236796
"с.Богоявление, м-н ""Продукты"", рядом с автостанцией";43.987831 55.824764
ул.Краснозвездная, д. 4а;43.984041 56.287917
ул.Звездинка, д.10/52;43.994533 56.316549
пр.Гагарина, д.186;43.961385 56.239063
ул.Рождественская, д.33;43.990203 56.329088
ул.Адм.Макарова, д.3;42.499763 55.431039
ул.Тимирязева, д.3,;43.995431 56.306103
пр.Ленина, д.45б;43.349605 54.929958
ул.Есенина, д.41;43.929926 56.337741
ул.Совнаркомовская, д.32;43.958232 56.327271
с.Линда, ул.Северная, столовая Птицефабрики;44.103004 56.619958
ул.К.Маркса, д.7а;43.927141 56.344072
ул.Радужная, д.2;44.043437 56.320373
г.Богородск, ул.Котельникова, д.68а;43.538 56.095087
"пр.Гагарина, д.184, м-н ""Мяснов-Отдохни""";43.962562 56.239758
д. Афонино, ул.Зеленая, д.66;44.086826 56.274075
Казанское шоссе, 21;44.074546 56.287622
ст.Суроватиха, ул,Ломоносова, д.1;43.239068 56.768961
пл.Минина, д.5;44.007612 56.327511
ул.Маслякова, 1;43.990769 56.314991
ул.Большая Печерская, д.16б;44.019892 56.326178
ул.Верхне-Печерская, д.4а;44.070378 56.296674
ул.Пискунова, д.35а;44.011475 56.324641
ул.Б.Печерская, д.63в;44.031193 56.321591
ул.Холодный пер., д.15а;44.001144 56.318765
ул.Славянская, д.35;44.03855 56.37991
ул.Верхне-Печерская, д.5а;44.065275 56.293007
ул.Донецкая, д.3;44.046123 56.31897
ул.Фруктовая, д.8;44.467586 56.776754
ул.Варварская, д.15а;44.011188 56.321246
ул.Верхне-Печерская, д.3а;44.065114 56.297333
ул.Родионова, д.201;44.07548 56.303022
ул.Верхне-Печерская, д.10;44.072138 56.287172
пер.Урожайный, д.4;43.987634 56.324301
пер.Плотничный, д.18в;43.993123 56.32195
ул.Генерала Ивлиева, д.32, к.4;44.04986 56.292198
ул.Кулибина, д.6;44.0587 56.370872
пр.Гагарина, д.8;43.985523 56.305549
ул.Ошарская, д.70;44.015221 56.313074
ул.Н.Сусловой, д.5/3;44.037984 56.299496
ул.Б.Корнилова, д.10;44.498667 56.792148
пр.Гагарина, д.44;43.983538 56.293162
ул.Малиновского, д.12;44.042719 56.281651
ул.Бекетова, д.19а;44.002932 56.29007
ул.Ванеева, д.104/3;44.038838 56.292343
ул.Верхняя, д.8;44.01541 56.295515
ул.Бекетова, д.29а;44.009274 56.291494
ул.Ванеева, д.7/57;44.015374 56.315091
ул.Минина, д.10а;44.015032 56.328609
ул.Горького, д.150в;44.004567 56.316973
ул.Тимирязева, д.29а;43.993284 56.306767
ул.40 лет.Победы, д.16;43.949195 56.226599
ул.Окт.революции, д.45а;43.616827 56.487399
ул.Академика Баха, д.2;43.938505 56.289126
г.Чкаловск, ул.Мира, д.1;43.234172 56.758615
ул.Ванеева, д.211;44.033879 56.286193
ул.Полевая, д.10;44.077825 56.35338
г.Городец, ул.Кирова, д.25;43.475037 56.645638
ул.Касьянова, д.2;44.071635 56.291688
ул.Октябрьской революции, д.18;43.935163 56.313938
ул.Пушкина, д.20в;43.337173 54.919492
ул.Центральная, д.9;43.855752 55.359277
ул.Артельная, д.12а;44.006148 56.299456
ул.Родионова, д.190;44.077924 56.310138
пр.Ленина, д.59;43.351483 54.933052
ул.Животноводов, д.64а;43.847272 56.156536
"ул.Голованова, д.73, м-н ""Аверс""";43.949869 56.228676
пр.Гагарина, д.113;43.945691 56.231748
бульвар Заречный, д.9;43.947156 56.28219
пр.Ленина, д.98;43.869146 56.243289
Лагзян*Анкудиновское ш.;44.611891 56.312764
посёлок Окский, ул.Новожилова, д.12;43.769442 56.176549
Доскино, ул.Магистральная, д.52а;43.740705 56.167975
ул.Гоголя, д.45а;43.400342 56.218326
"Гаврилюк* магазин ""Ямал"" Суроватиха";44.611891 56.312764
д.Афонино, ул.Магистральная, д.2;44.088263 56.269126
пл.Свободы, д.3;44.012832 56.318037
ул.Луначарского, д.25;44.049177 56.358996
ул.Робеспьера, д.2;43.929225 56.267982
ул.Борисова, д.64;44.007199 56.232829
ул.Фруктовая, д.6;44.467352 56.77707
ул. Верхнепечёрская , д.№5;44.067503 56.293102
ул.Белинского, д.85;44.027977 56.31892
ул.Полтавская, у д.2А;44.024384 56.317268
ул.Ковалихинская, д.30;44.019955 56.321626
ул.Белинского, д.64;44.003103 56.312055
ул.Тропинина, д.13;43.942368 56.235761
ул.Глеба Успенского, д.11а;43.930663 56.269111
ул.Херсонская, д.14/1;43.914367 56.272535
пр.Ленина, д.61а;43.916029 56.275519
пр.Ленина, д.74;43.914502 56.266032
пер.Райниса, д.6;43.914915 56.264872
ул.Усиевича, д.21а;43.934984 56.278937
ул.Перекопская, д.5а;43.940921 56.276134
ул.Арктическая, д.4а;43.941173 56.282305
пер.Райниса, д.9;43.913217 56.264217
пр.Ленина, д.57/4;43.351815 54.932446
пер.Райниса, д.3а;43.915275 56.265577
ул.Диксона, д.33;43.946311 56.276993
пр.Ленина, д.28/10;43.345455 54.92582
ул.Самочкина, д.5а;43.914583 56.291229
пр.Ленина, д.83;43.909858 56.264682
ул.Каширская, д.69а;43.948602 56.276374
ул.Таганская, д.9б;43.922766 56.27323
ул.Космонавта Комарова, 13б;43.928704 56.280332
ул.Таганская, д.9а;43.921275 56.272805
ул.Композиторская, д.3;43.933456 56.270966
пр.Ленина, д.50а;43.349345 54.930858
ул.Героя Чугунова, д.5б;43.928695 56.279442
пер.Ермака, д.2а;43.929486 56.258043
ул.Сухопутная, д.4;43.932792 56.28295
ул.Глеба Успенского, д.1а;43.933959 56.271461
пр.Ленина, д.49а;43.350108 54.930812
ул.Комарова, д.1а;43.932666 56.275744
ул.Юпитерская, д.4а;43.932127 56.276244
пр.Ленина, д.26в;43.345752 54.924863
ул.Даргомыжского, д.1/1;43.938577 56.292553
пр.Ленина, д.43/6;43.919982 56.28311
ул.Даргомыжского, д.1/2;43.939673 56.292348
ул.Адм.Макарова, д.2/1;43.946033 56.289585
ул.Адм.Макарова, д.5/3;43.941721 56.286627
пр.Ленина, д.19б;43.344404 54.921246
ул.Завкомовская, д.1;43.909606 56.301639
ул.Паскаля, д.4;43.930402 56.267147
микрорайон Щербинки-1, д.2а;43.969039 56.240833
ул.Пятигорская, д.2а;43.976333 56.260338
микрорайон Щербинки-1, д.9а;43.968329 56.238547
ул.Петровского, д.21а;43.975525 56.245555
ул.Маршала  Жукова, д.27;43.948135 56.229747
ул.Маршала Жукова, д.23;43.950147 56.230527
